method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
ensemble,7DTE,90,92.22222222222223,94.44444444444444,95.55555555555556,98.88888888888889,9.636372389543695,10.644961788421258,11.377317472143478,12.561797800401216,2.0707864025095333,1.7655535904628945
ensemble,10DTE,90,91.11111111111111,93.33333333333333,93.33333333333333,98.88888888888889,9.641329630139989,10.663928470176339,11.420164626177108,12.533531719480056,2.2531461407013498,1.8011574304757922
ensemble,1-3DTE,270,99.62962962962963,100.0,100.0,100.0,8.591160161340003,9.515435720390219,10.162441910506619,11.176628681672014,1.1782929312499517,0.879796213052454
ensemble,4-7DTE,360,94.16666666666667,95.27777777777777,96.66666666666667,98.61111111111111,9.31962051052229,10.302567751106977,11.024395477629769,12.119622727610219,1.8926401211497623,1.5767250030827469
ensemble,8-14DTE,630,89.84126984126985,92.6984126984127,93.96825396825396,96.03174603174604,9.459351983543367,10.474231842335335,11.212055203086189,12.348069832827452,2.305372049164018,1.930624908049837
ensemble,15-20DTE,540,94.25925925925925,96.29629629629629,97.22222222222221,98.33333333333333,10.652942624456351,11.779199371005046,12.61038118402864,13.88907350906878,2.3170081196757546,2.0195257035238945
ensemble_combined,1DTE,90,100.0,100.0,100.0,100.0,8.440458486572563,9.359092172366795,9.978544348826837,11.164927558130755,0.8860025472089939,0.646070837101914
ensemble_combined,2DTE,90,100.0,100.0,100.0,100.0,8.534209462938199,9.49995975866272,10.223873491949945,11.237119802694362,1.248506636278335,1.0141757196818535
ensemble_combined,3DTE,90,100.0,100.0,100.0,100.0,9.207647800310806,10.240012145135628,10.976949242838824,12.460250003466776,1.470272381351703,1.0981907719634538
ensemble_combined,5DTE,90,97.77777777777777,97.77777777777777,98.88888888888889,100.0,9.695302464057317,10.755189831000605,11.612069949826779,12.815221222837634,1.7863304497101078,1.572799383715519
ensemble_combined,7DTE,90,95.55555555555556,100.0,100.0,100.0,10.071578742260492,11.288157863864791,12.499263216964371,14.34068891472605,1.968013286561423,1.6935424767460736
ensemble_combined,10DTE,90,98.88888888888889,100.0,100.0,100.0,10.709369816070282,12.17104266135073,13.23292810561997,15.439367451021734,2.078764960041205,2.0529641633977205
ensemble_combined,1-3DTE,270,100.0,100.0,100.0,100.0,8.727438583273857,9.699688025388383,10.3931223612052,11.620765788097298,1.201593854946344,0.9250790332133658
ensemble_combined,4-7DTE,360,96.38888888888889,98.33333333333333,99.44444444444444,100.0,9.825516012295424,10.961966811570248,11.850499540908858,13.288985480873134,1.8951874598027125,1.6689219941628635
ensemble_combined,8-14DTE,630,97.77777777777777,99.20634920634922,99.52380952380952,99.68253968253968,11.231005579115894,12.90878779690418,14.149638982456224,15.834574968967688,2.2268403501665794,1.914098446322779
ensemble_combined,15-20DTE,540,100.0,100.0,100.0,100.0,15.290158385328326,16.747646818318696,17.45101916544403,18.340033502500575,2.458985716446635,2.083193244855899
