dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient
3,P97,1.5/98.5 pct of 100d moves,52,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,5,20,100.0,327.6,3297.4,9,2948.4,9.94,164.5,1480.5,29610.0,75.0,0.5,446.5,170.03,0.968,3.0,True,True,True,True,True,True,62.662,94.52,0.049887790380299626,9.828779038029962
3,P98,1.0/99.0 pct of 100d moves,69,08:30,11:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,30,10,100.0,734.3,7365.7,4,2937.2,9.97,367.15,1468.6,14686.0,182.5,5.0,910.0,380.95,0.964,3.0,True,True,True,True,True,True,62.631,94.46,0.0498459073815116,9.80459073815116
1,P95,2.5/97.5 pct of 100d moves,36,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,15,11,100.0,484.27,3015.73,9,4358.43,16.06,242.27,2180.43,23984.7,173.5,3.0,837.5,251.77,0.962,1.0,True,True,True,True,True,True,64.438,94.43,0.08033544117013128,12.843544117013128
3,P95,2.5/97.5 pct of 100d moves,52,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),put_spread,against_flow,15,15,100.0,322.73,2010.6,14,4518.22,16.05,161.87,2266.18,33992.7,104.0,5.0,519.5,168.53,0.96,3.0,True,True,True,True,True,True,64.41499999999999,94.4,0.08050830597831493,12.850830597831493
3,P95,2.5/97.5 pct of 100d moves,52,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,against_flow,5,11,100.0,392.09,3153.36,9,3528.81,12.43,196.05,1764.45,19409.0,167.5,0.5,501.5,204.81,0.957,3.0,True,True,True,True,True,True,63.299,94.355,0.062171778674176115,11.002177867417611
3,P99,0.5/99.5 pct of 100d moves,86,12:30,15:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,against_flow,80,20,100.0,1160.55,11514.45,2,2321.1,10.08,580.6,1161.2,23224.0,402.25,13.0,2205.0,606.76,0.957,3.0,True,True,True,True,True,True,62.594,94.355,0.05042359817446773,9.827359817446773
3,P99,0.5/99.5 pct of 100d moves,86,12:30,15:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,against_flow,85,20,100.0,1160.7,11564.3,2,2321.4,10.04,580.67,1161.34,23226.8,402.25,13.0,2205.0,606.79,0.957,3.0,True,True,True,True,True,True,62.582,94.355,0.05021229127573654,9.806229127573655
1,P100,0.0/100.0 pct (min/max of 100d moves),60,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,40,18,100.0,902.39,6680.94,4,3609.56,13.51,451.19,1804.76,32485.7,405.75,4.0,1561.0,472.33,0.955,1.0,True,True,True,True,True,True,63.602999999999994,94.325,0.06753390989890644,11.528390989890642
10,P100,0.0/100.0 pct (min/max of 100d moves),86,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,30,15,100.0,1329.07,6604.27,4,5316.28,20.12,664.7,2658.8,39882.0,391.0,1.0,2032.5,696.97,0.954,7.6,True,True,True,True,True,True,65.576,94.31,0.10064700564937533,14.834700564937533
5,P98,1.0/99.0 pct of 100d moves,69,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,50,17,100.0,1329.0,6788.65,4,5316.0,19.58,664.79,2659.16,45205.7,388.0,6.5,2255.0,698.6,0.952,3.9,True,True,True,True,True,True,65.394,94.28,0.09792668645459701,14.5526686454597
5,P97,1.5/98.5 pct of 100d moves,52,08:45,11:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,5,13,100.0,563.31,7513.62,3,1689.93,7.5,282.04,846.12,10999.6,270.0,5.0,886.0,296.35,0.952,3.8,True,True,True,True,True,True,61.769999999999996,94.28,0.03753716584016759,8.513716584016759
5,P97,1.5/98.5 pct of 100d moves,52,08:45,11:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,10,13,100.0,563.31,7513.62,3,1689.93,7.5,282.04,846.12,10999.6,270.0,5.0,886.0,296.35,0.952,3.8,True,True,True,True,True,True,61.769999999999996,94.28,0.03753716584016759,8.513716584016759
1,P98,1.0/99.0 pct of 100d moves,48,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,30,17,100.0,823.18,4412.12,6,4939.08,18.66,411.59,2469.54,41982.2,361.5,3.5,1380.0,432.97,0.951,1.0,True,True,True,True,True,True,65.108,94.265,0.09328622068302765,14.083622068302766
10,P99,0.5/99.5 pct of 100d moves,86,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),put_spread,with_flow,20,14,100.0,505.5,4565.93,6,3033.0,11.07,253.18,1519.08,21267.1,149.5,12.0,832.5,266.1,0.951,7.6,True,True,True,True,True,True,62.831,94.265,0.05544982073750583,10.299982073750584
10,P99,0.5/99.5 pct of 100d moves,86,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),put_spread,with_flow,15,14,100.0,505.5,4565.93,6,3033.0,11.07,253.18,1519.08,21267.1,149.5,12.0,832.5,266.1,0.951,7.6,True,True,True,True,True,True,62.831,94.265,0.05544982073750583,10.299982073750584
5,P98,1.0/99.0 pct of 100d moves,69,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,45,17,100.0,1327.12,6731.71,4,5308.48,19.71,663.85,2655.4,45141.8,388.0,6.5,2255.0,698.66,0.95,3.9,True,True,True,True,True,True,65.413,94.25,0.09861535924750175,14.611535924750175
1,P95,2.5/97.5 pct of 100d moves,36,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,with_flow,30,11,100.0,1126.36,3873.64,7,7884.52,29.08,563.18,3942.26,43364.9,567.5,10.0,2065.0,592.99,0.95,1.0,True,True,True,True,True,True,68.22399999999999,94.25,0.14538780062163753,19.288780062163752
1,P95,2.5/97.5 pct of 100d moves,36,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,with_flow,25,11,100.0,1125.64,3692.55,8,9005.12,30.48,562.82,4502.56,49528.2,563.5,10.0,2065.0,592.99,0.949,1.0,True,True,True,True,True,True,68.634,94.235,0.15242041407699286,19.987041407699287
3,P99,0.5/99.5 pct of 100d moves,86,09:30,12:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,with_flow,10,13,100.0,1314.0,5186.0,5,6570.0,25.34,657.0,3285.0,42705.0,405.0,2.5,2029.0,692.12,0.949,3.0,True,True,True,True,True,True,67.092,94.235,0.12668723486309294,17.413723486309294
3,P99,0.5/99.5 pct of 100d moves,86,09:30,12:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,with_flow,5,13,100.0,1314.0,5186.0,5,6570.0,25.34,657.0,3285.0,42705.0,405.0,2.5,2029.0,692.12,0.949,3.0,True,True,True,True,True,True,67.092,94.235,0.12668723486309294,17.413723486309294
1,P95,2.5/97.5 pct of 100d moves,36,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,20,12,100.0,607.25,2809.42,10,6072.5,21.61,303.75,3037.5,36450.0,200.25,3.0,980.0,320.91,0.947,1.0,True,True,True,True,True,True,65.953,94.205,0.10811840166297669,15.546840166297669
1,P99,0.5/99.5 pct of 100d moves,60,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,35,16,100.0,754.5,6651.75,4,3018.0,11.34,377.25,1509.0,24144.0,296.5,4.0,1380.0,399.69,0.944,1.0,True,True,True,True,True,True,62.842,94.16,0.05671439846656895,10.391439846656894
5,P99,0.5/99.5 pct of 100d moves,86,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,15,12,100.0,1273.17,8810.17,3,3819.51,14.45,637.04,1911.12,22933.4,391.5,12.5,2211.0,676.1,0.942,4.1,True,True,True,True,True,True,63.754999999999995,94.13,0.0723073448071944,11.94073448071944
5,P99,0.5/99.5 pct of 100d moves,86,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,30,12,100.0,1272.75,9143.92,3,3818.25,13.92,636.83,1910.49,22925.9,391.5,10.0,2211.0,676.31,0.942,4.1,True,True,True,True,True,True,63.596000000000004,94.13,0.06964518499724408,11.674518499724407
5,P99,0.5/99.5 pct of 100d moves,86,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,25,12,100.0,1272.75,9143.92,3,3818.25,13.92,636.83,1910.49,22925.9,391.5,10.0,2211.0,676.31,0.942,4.1,True,True,True,True,True,True,63.596000000000004,94.13,0.06964518499724408,11.674518499724407
5,P99,0.5/99.5 pct of 100d moves,86,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,20,12,100.0,1273.17,8810.17,3,3819.51,14.45,637.04,1911.12,22933.4,391.5,12.5,2211.0,676.1,0.942,4.1,True,True,True,True,True,True,63.754999999999995,94.13,0.0723073448071944,11.94073448071944
5,P100,0.0/100.0 pct (min/max of 100d moves),86,12:30,15:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,against_flow,50,18,100.0,1041.33,6375.33,4,4165.32,16.33,520.67,2082.68,37488.2,314.0,7.5,2001.0,553.47,0.941,4.0,True,True,True,True,True,True,64.309,94.115,0.0816694978926581,12.871949789265809
5,P100,0.0/100.0 pct (min/max of 100d moves),86,12:30,15:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,against_flow,45,18,100.0,1041.33,6375.33,4,4165.32,16.33,520.67,2082.68,37488.2,314.0,7.5,2001.0,553.47,0.941,4.0,True,True,True,True,True,True,64.309,94.115,0.0816694978926581,12.871949789265809
1,P100,0.0/100.0 pct (min/max of 100d moves),60,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,25,15,100.0,1466.47,5300.2,5,7332.35,27.67,733.23,3666.15,54992.2,483.5,3.5,2255.0,783.53,0.936,1.0,True,True,True,True,True,True,67.661,94.04,0.1383400626391457,18.51400626391457
