dte,band,spread_type,flow_mode,spread_width,entry_time_pst,entry_time_et,time_bucket,expected_win_pct,expected_roi_pct,sharpe,expected_credit,max_risk_per_contract,avg_pnl,n_trades,trade_score
5,P100,iron_condor,with_flow,50,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.4,279.79,0.543,25827.04,9230.79,1105.62,52,130.69816179167762
5,P100,iron_condor,against_flow,50,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.4,279.79,0.543,25827.04,9230.79,1105.62,52,130.69816179167762
5,P100,iron_condor,with_flow,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.4,279.79,0.543,25826.75,9230.79,1105.48,52,130.69816179167762
5,P100,iron_condor,against_flow,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.4,279.79,0.543,25826.75,9230.79,1105.48,52,130.69816179167762
5,P100,iron_condor,against_flow,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,280.57,0.523,26184.63,9332.82,1065.05,51,130.58947500648247
5,P100,iron_condor,with_flow,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,280.57,0.523,26184.63,9332.82,1065.05,51,130.58947500648247
3,P97,iron_condor,neutral,25,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.6,272.64,0.333,19546.41,7169.31,996.24,68,129.17366874078536
3,P97,iron_condor,neutral,30,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.3,261.94,0.359,20802.92,7941.94,1135.78,64,128.055276390907
5,P100,iron_condor,neutral,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,268.28,0.529,24588.3,9165.0,1042.94,54,127.9042149481724
1,P100,put_spread,with_flow,5,06:30,09:30,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),100.0,136.57,0.697,970.91,710.91,485.45,11,127.85145635171823
5,P100,iron_condor,neutral,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.9,265.64,0.529,24388.78,9181.11,1041.84,55,127.36038583787798
5,P100,iron_condor,neutral,50,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.1,264.21,0.541,24062.38,9107.39,1066.71,56,127.23651883744958
5,P100,iron_condor,neutral,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.1,264.2,0.541,24062.11,9107.39,1066.58,56,127.23401883744958
5,P100,iron_condor,neutral,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.9,264.81,0.522,24361.87,9199.76,1028.38,55,127.09246975573275
3,P97,iron_condor,neutral,40,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.8,255.96,0.335,21009.7,8208.17,1135.73,64,125.38659670791418
3,P97,iron_condor,neutral,35,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.7,256.53,0.314,21133.06,8238.11,1048.7,63,125.29224131445197
3,P97,iron_condor,neutral,45,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.9,248.28,0.331,20387.23,8211.38,1108.46,66,123.49364419135395
3,P97,iron_condor,neutral,50,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.9,248.04,0.331,20386.48,8219.02,1108.06,66,123.43138013534461
5,P100,iron_condor,with_flow,55,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.6,246.33,0.572,25770.49,10461.68,1247.07,53,122.43023884118037
5,P100,iron_condor,with_flow,60,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.6,246.33,0.572,25770.49,10461.68,1247.07,53,122.43023884118037
5,P100,iron_condor,against_flow,60,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.6,246.33,0.572,25770.49,10461.68,1247.07,53,122.43023884118037
5,P100,iron_condor,against_flow,55,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.6,246.33,0.572,25770.49,10461.68,1247.07,53,122.43023884118037
