dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient,profile
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,10,57,91.2,32185.51,8681.05,3,96556.53,370.76,389.18,1167.54,66549.8,72.5,-8740.0,9525.0,2493.49,0.156,3.6,True,True,True,True,True,True,158.388,75.30000000000001,0.04483098242724095,5.263098242724095,aggressive
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,10,57,91.2,32185.51,8681.05,3,96556.53,370.76,389.18,1167.54,66549.8,72.5,-8740.0,9525.0,2493.49,0.156,3.6,True,True,True,True,True,True,158.388,75.30000000000001,0.04483098242724095,5.263098242724095,aggressive
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,5,57,91.2,32185.16,8681.05,3,96555.48,370.75,389.0,1167.0,66519.0,72.5,-8740.0,9525.0,2493.31,0.156,3.6,True,True,True,True,True,True,158.385,75.30000000000001,0.04481024760829624,5.261024760829624,aggressive
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,5,57,91.2,32185.16,8681.05,3,96555.48,370.75,389.0,1167.0,66519.0,72.5,-8740.0,9525.0,2493.31,0.156,3.6,True,True,True,True,True,True,158.385,75.30000000000001,0.04481024760829624,5.261024760829624,aggressive
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,10,63,92.1,19935.24,5426.68,5,99676.2,367.36,774.75,3873.75,244046.2,178.5,-997.0,7597.0,1567.26,0.494,2.7,True,True,True,True,True,True,161.19799999999998,81.08999999999999,0.14276684823870212,16.74668482387021,aggressive
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,5,53,92.5,22977.17,6254.64,4,91908.68,367.36,581.35,2325.4,123246.2,97.5,-1416.0,7906.0,1458.46,0.399,2.7,True,True,True,True,True,True,160.44799999999998,79.985,0.09294699615005819,11.28969961500582,aggressive
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,10,53,92.5,23023.25,6270.08,4,92093.0,367.19,604.39,2417.56,128130.7,99.5,-1416.0,7906.0,1457.01,0.415,2.7,True,True,True,True,True,True,160.55700000000002,80.225,0.09639270950290905,11.714270950290905,aggressive
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,5,63,92.1,19921.19,5426.68,5,99605.95,367.1,767.72,3838.6,241831.8,178.5,-997.0,7597.0,1565.69,0.49,2.7,True,True,True,True,True,True,161.08,81.02999999999999,0.14147139687617474,16.597139687617474,aggressive
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,20,55,92.7,33359.25,9147.2,3,100077.75,364.69,419.75,1259.25,69258.8,115.0,-8740.0,9525.0,2535.09,0.166,3.6,True,True,True,True,True,True,157.417,76.65,0.04588835927934231,5.418835927934231,aggressive
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,20,55,92.7,33359.25,9147.2,3,100077.75,364.69,419.75,1259.25,69258.8,115.0,-8740.0,9525.0,2535.09,0.166,3.6,True,True,True,True,True,True,157.417,76.65,0.04588835927934231,5.418835927934231,aggressive
