model,hour,period,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
percentile,12:30,3mo,66,89.39393939393939,90.9090909090909,90.9090909090909,95.45454545454545,1.5055278338902873,1.6603096175644636,1.7649455152283917,1.9215747761809954,0.32171244865723975,0.23981245721579222
percentile,13:00,3mo,66,90.9090909090909,92.42424242424242,93.93939393939394,93.93939393939394,1.5058807863701318,1.6530445025294347,1.7625118125647363,1.882022455904747,0.3074691497546976,0.21271635620242035
percentile,13:30,3mo,66,84.84848484848484,90.9090909090909,93.93939393939394,93.93939393939394,1.4247284506128124,1.5979561426693574,1.6796063523021951,1.8163290637941927,0.2939592122475419,0.22362024090676907
percentile,14:00,3mo,66,87.87878787878788,90.9090909090909,90.9090909090909,93.93939393939394,1.1311164626809151,1.2954748701775676,1.4096335514541642,1.535588436474424,0.26683172879557043,0.2001098323238198
percentile,14:30,3mo,64,93.75,95.3125,95.3125,95.3125,1.0468861001376735,1.177756108458526,1.2731985336667795,1.3717575064557654,0.21516999508851956,0.1907483270679842
percentile,15:00,3mo,64,71.875,79.6875,79.6875,84.375,0.6471367562441745,0.7313485147413156,0.7746883494679032,0.8155014173509412,0.2029795710621789,0.1486841879883371
percentile,15:30,3mo,64,93.75,96.875,98.4375,98.4375,0.863079543689487,0.9699345505521335,1.0523808514417499,1.1481164263183208,0.1522039366840508,0.11589815050007087
statistical,9:30,3mo,66,13.636363636363635,13.636363636363635,16.666666666666664,24.242424242424242,0.28350685366338435,0.3780091382178488,0.4725114227723078,0.6615159918812332,0.6809551513723733,0.5479386095148261
statistical,10:00,3mo,66,16.666666666666664,18.181818181818183,22.727272727272727,28.78787878787879,0.24741469726111295,0.3298862630148168,0.41235782876852145,0.5773009602759305,0.55932371404382,0.389625860549712
statistical,10:30,3mo,66,12.121212121212121,16.666666666666664,21.21212121212121,34.84848484848485,0.22212482868129857,0.29616643824173144,0.3702080478021657,0.5182912669230305,0.50838387543257,0.3366998829293097
statistical,11:00,3mo,66,15.151515151515152,24.242424242424242,27.27272727272727,33.33333333333333,0.21176645762349502,0.2823552768313272,0.35294409603915966,0.4941217344548229,0.4257327825236605,0.3003284359603122
statistical,11:30,3mo,66,13.636363636363635,18.181818181818183,27.27272727272727,40.909090909090914,0.1990031696581285,0.2653375595441696,0.3316719494302116,0.4643407292022958,0.36180412976285503,0.26634593569081977
statistical,12:00,3mo,66,15.151515151515152,25.757575757575758,27.27272727272727,42.42424242424242,0.1892359590068661,0.2523146120091522,0.3153932650114436,0.44155057101601913,0.3471366937732446,0.24871805990354684
statistical,12:30,3mo,66,22.727272727272727,28.78787878787879,31.818181818181817,39.39393939393939,0.18046563936742074,0.2406208524898971,0.30077606561236775,0.42108649185731784,0.3126157492701873,0.23173029485242702
statistical,13:00,3mo,66,22.727272727272727,25.757575757575758,30.303030303030305,31.818181818181817,0.16067898345037615,0.21423864460050104,0.26779830575062813,0.37491762805087586,0.2940254941241425,0.20915900990746478
statistical,13:30,3mo,66,19.696969696969695,21.21212121212121,22.727272727272727,31.818181818181817,0.14788219377885187,0.1971762583718027,0.24647032296475263,0.34505845215065517,0.2901949731328951,0.243974208637766
statistical,14:00,3mo,66,19.696969696969695,25.757575757575758,27.27272727272727,37.878787878787875,0.14403668159711655,0.1920489087961534,0.2400611359951932,0.3360855903932687,0.2516617790850164,0.21749901175268183
statistical,14:30,3mo,64,23.4375,31.25,34.375,42.1875,0.13877397097253358,0.18503196129670912,0.23128995162088845,0.32380593226924315,0.2127087897887571,0.19054523852793898
statistical,15:00,3mo,64,14.0625,18.75,31.25,45.3125,0.1297698240951031,0.1730264321268018,0.21628304015850303,0.30279625622190454,0.20503062554236612,0.15365699584713532
statistical,15:30,3mo,64,29.6875,34.375,39.0625,54.6875,0.12849344149309025,0.17132458865745342,0.2141557358218164,0.29981803015054437,0.1380597356432095,0.11530123646094266
combined,9:30,1mo,22,90.9090909090909,95.45454545454545,95.45454545454545,100.0,3.2183442318528264,3.5686528872913725,3.734243034327565,4.02984693170517,0.8029981315953459,0.7837204848795329
combined,10:00,1mo,22,90.9090909090909,100.0,100.0,100.0,2.9953066814996845,3.332049529686571,3.5791323476015746,3.8430740376826473,0.6806789453250583,0.6149020588483167
combined,10:30,1mo,22,86.36363636363636,90.9090909090909,90.9090909090909,95.45454545454545,2.426891790431406,2.7071759123573034,2.9118290854207816,3.1966937726896947,0.5648426428537558,0.44922501959743666
combined,11:00,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,2.0754038734985336,2.4332204076990642,2.633933926430652,2.9406829302718736,0.46951672859792537,0.37859058712620197
combined,11:30,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,2.167439032985683,2.4454140035523473,2.668067814595761,3.0264966115858822,0.35498272784348084,0.2765579016560126
combined,12:00,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,2.2990899301541017,2.588056432047099,2.768069204428563,2.9574040819752536,0.34982942745900997,0.23202745696008714
combined,12:30,1mo,22,86.36363636363636,86.36363636363636,86.36363636363636,95.45454545454545,1.7926457013453203,1.9709089414529835,2.1019870359227295,2.277034522913832,0.3551684145915559,0.26499111259671915
combined,13:00,1mo,22,90.9090909090909,90.9090909090909,90.9090909090909,90.9090909090909,1.7864519626297541,1.9351658473331164,2.084095826606453,2.2435893179240125,0.3372426767288356,0.26330915659324206
combined,13:30,1mo,22,90.9090909090909,95.45454545454545,95.45454545454545,95.45454545454545,1.7508523611513416,1.9358206499063206,2.04334625464072,2.2163052686708884,0.2986744765878723,0.23369751254885457
combined,14:00,1mo,22,90.9090909090909,90.9090909090909,90.9090909090909,95.45454545454545,1.4236547860498587,1.618860787388092,1.730524393239728,1.8601813023383,0.31100176006931085,0.2646939997643086
combined,14:30,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,1.2161472328509426,1.3546293284667021,1.4753479799380393,1.587056759623779,0.2413625806734613,0.22074463831747976
combined,15:00,1mo,22,68.18181818181817,77.27272727272727,81.81818181818183,90.9090909090909,0.7940529886937573,0.8756851403741162,0.9262938557628012,0.9809467065284981,0.23073098337461698,0.1829853545615397
combined,15:30,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,1.0178028373720174,1.1427034748960485,1.2377939379135012,1.3380806364020181,0.15535874591652216,0.1338417249411749
percentile,9:30,1mo,22,90.9090909090909,95.45454545454545,95.45454545454545,100.0,3.2183442318528264,3.5686528872913725,3.734243034327565,4.02984693170517,0.8029981315953459,0.7837204848795329
percentile,10:00,1mo,22,90.9090909090909,100.0,100.0,100.0,2.9953066814996845,3.332049529686571,3.5791323476015746,3.8430740376826473,0.6806789453250583,0.6149020588483167
percentile,10:30,1mo,22,86.36363636363636,90.9090909090909,90.9090909090909,95.45454545454545,2.426891790431406,2.7071759123573034,2.9118290854207816,3.1966937726896947,0.5648426428537558,0.44922501959743666
percentile,11:00,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,2.0754038734985336,2.4332204076990642,2.633933926430652,2.9406829302718736,0.46951672859792537,0.37859058712620197
percentile,11:30,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,2.167439032985683,2.4454140035523473,2.668067814595761,3.0264966115858822,0.35498272784348084,0.2765579016560126
percentile,12:00,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,2.2990899301541017,2.588056432047099,2.768069204428563,2.9574040819752536,0.34982942745900997,0.23202745696008714
percentile,12:30,1mo,22,86.36363636363636,86.36363636363636,86.36363636363636,95.45454545454545,1.7926457013453203,1.9709089414529835,2.1019870359227295,2.277034522913832,0.3551684145915559,0.26499111259671915
percentile,13:00,1mo,22,90.9090909090909,90.9090909090909,90.9090909090909,90.9090909090909,1.7864519626297541,1.9351658473331164,2.084095826606453,2.2435893179240125,0.3372426767288356,0.26330915659324206
percentile,13:30,1mo,22,90.9090909090909,95.45454545454545,95.45454545454545,95.45454545454545,1.7508523611513416,1.9358206499063206,2.04334625464072,2.2163052686708884,0.2986744765878723,0.23369751254885457
percentile,14:00,1mo,22,90.9090909090909,90.9090909090909,90.9090909090909,95.45454545454545,1.4236547860498587,1.618860787388092,1.730524393239728,1.8601813023383,0.31100176006931085,0.2646939997643086
percentile,14:30,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,1.2161472328509426,1.3546293284667021,1.4753479799380393,1.587056759623779,0.2413625806734613,0.22074463831747976
percentile,15:00,1mo,22,68.18181818181817,77.27272727272727,77.27272727272727,86.36363636363636,0.7935525184357565,0.8752044713574739,0.9229431035452952,0.9665648412528209,0.23097131788293782,0.1829853545615397
percentile,15:30,1mo,22,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,1.0178028373720174,1.1427034748960485,1.2377939379135012,1.3380806364020181,0.15535874591652216,0.1338417249411749
statistical,9:30,1mo,22,13.636363636363635,13.636363636363635,22.727272727272727,36.36363636363637,0.38586853692448775,0.5144913825659868,0.6431142282074812,0.9003599194904726,0.7492131531250709,0.6043409708127676
statistical,10:00,1mo,22,22.727272727272727,27.27272727272727,36.36363636363637,36.36363636363637,0.3272179503910939,0.43629060052145846,0.5453632506518222,0.7635085509125509,0.5120270040935628,0.3998557202885666
statistical,10:30,1mo,22,18.181818181818183,22.727272727272727,36.36363636363637,50.0,0.2907056555237127,0.3876075406982827,0.48450942587285334,0.6783131962219967,0.49312969465372053,0.390434971397312
statistical,11:00,1mo,22,18.181818181818183,31.818181818181817,36.36363636363637,40.909090909090914,0.28057486889980826,0.3740998251997437,0.4676247814996806,0.6546746940995543,0.395192709809931,0.26712455520937106
statistical,11:30,1mo,22,22.727272727272727,22.727272727272727,40.909090909090914,59.09090909090909,0.25950047516751296,0.34600063355668875,0.432500791945856,0.6055011087241992,0.3006947482260933,0.22201498144397225
statistical,12:00,1mo,22,13.636363636363635,36.36363636363637,36.36363636363637,59.09090909090909,0.24734424082206738,0.3297923210960842,0.4122404013701091,0.5771365619181518,0.3269431683660249,0.22822341296666004
statistical,12:30,1mo,22,18.181818181818183,31.818181818181817,31.818181818181817,36.36363636363637,0.23396855175403167,0.3119580690053722,0.3899475862567115,0.5459266207594016,0.34930202214392053,0.27284110258916744
statistical,13:00,1mo,22,22.727272727272727,27.27272727272727,27.27272727272727,27.27272727272727,0.20899522045019464,0.2786602939335975,0.3483253674169996,0.4876555143837914,0.34245012714796347,0.28556084267446874
statistical,13:30,1mo,22,22.727272727272727,27.27272727272727,27.27272727272727,31.818181818181817,0.19538300941275183,0.26051067921700777,0.325638349021257,0.45589368862976354,0.30482036771572374,0.27698859940161047
statistical,14:00,1mo,22,13.636363636363635,22.727272727272727,27.27272727272727,40.909090909090914,0.1939053386188916,0.2585404514918541,0.32317556436482,0.45244579011074376,0.30303453799033053,0.27776674401164386
statistical,14:30,1mo,22,22.727272727272727,31.818181818181817,36.36363636363637,50.0,0.18265823837524345,0.24354431783365607,0.30443039729207566,0.4262025562089008,0.23775997389270884,0.2179942721339262
statistical,15:00,1mo,22,18.181818181818183,22.727272727272727,27.27272727272727,50.0,0.17189556485001709,0.22919408646668826,0.2864926080833628,0.4010896513167067,0.24334564308245474,0.21108498410592114
statistical,15:30,1mo,22,31.818181818181817,36.36363636363637,40.909090909090914,59.09090909090909,0.17280408469083677,0.23040544625444312,0.2880068078180547,0.4032095309452792,0.15638204162632785,0.15052384318708464
