rank,strategy.config.slope_detection.skip_slope,strategy.config.tiers.call.0.spread_width,strategy.config.tiers.call.1.spread_width,strategy.config.tiers.call.2.spread_width,strategy.config.tiers.put.0.spread_width,strategy.config.tiers.put.1.spread_width,strategy.config.tiers.put.2.spread_width,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
325,False,50,45,25,50,45,25,293,2.7,39095.0,39095.0,0,39095.0,inf,4.23
326,False,50,45,30,50,45,30,293,2.7,39074.0,39074.0,0,39074.0,inf,4.25
327,True,30,25,30,30,25,30,293,2.7,71456.0,69426.0,30470.0,38956.0,2.28,3.54
328,False,50,30,20,50,30,20,293,3.1,38881.0,38881.0,0,38881.0,inf,4.21
329,False,50,20,10,50,20,10,293,3.4,38829.0,38829.0,0,38829.0,inf,4.18
330,False,40,35,25,40,35,25,293,2.4,38770.0,38770.0,0,38770.0,inf,3.97
331,False,50,30,15,50,30,15,293,2.7,38767.0,38767.0,0,38767.0,inf,4.31
332,False,40,45,10,40,45,10,293,2.7,38763.0,38763.0,0,38763.0,inf,4.13
333,False,50,25,15,50,25,15,293,3.1,38728.0,38728.0,0,38728.0,inf,4.07
334,False,50,35,20,50,35,20,293,3.1,38707.0,38707.0,0,38707.0,inf,3.98
335,False,50,25,20,50,25,20,293,3.1,38624.0,38624.0,0,38624.0,inf,3.97
336,False,30,40,15,30,40,15,293,2.4,38579.0,38579.0,0,38579.0,inf,4.6
337,False,35,40,15,35,40,15,293,2.7,38395.0,38395.0,0,38395.0,inf,3.83
338,False,50,30,30,50,30,30,293,2.7,38311.0,38311.0,0,38311.0,inf,4.24
339,False,30,40,20,30,40,20,293,2.4,38258.0,38258.0,0,38258.0,inf,4.42
340,False,45,40,15,45,40,15,293,2.0,38220.0,38220.0,0,38220.0,inf,4.82
341,False,40,25,10,40,25,10,293,3.1,38210.0,38210.0,0,38210.0,inf,3.83
342,False,40,30,10,40,30,10,293,2.7,38160.0,38160.0,0,38160.0,inf,4.06
343,True,40,20,30,40,20,30,293,3.8,88143.0,86693.0,48550.0,38143.0,1.79,2.97
344,True,35,30,20,35,30,20,293,3.4,68133.0,66161.0,28028.0,38133.0,2.36,3.03
345,True,35,20,15,35,20,15,293,3.4,76120.0,73858.0,35738.0,38120.0,2.07,2.98
346,False,50,25,30,50,25,30,293,3.1,38034.0,38034.0,0,38034.0,inf,4.0
347,False,40,35,10,40,35,10,293,2.7,38005.0,38005.0,0,38005.0,inf,3.91
348,False,50,50,10,50,50,10,293,3.1,37998.0,37998.0,0,37998.0,inf,4.2
349,False,45,40,20,45,40,20,293,2.4,37978.0,37978.0,0,37978.0,inf,4.63
350,False,50,25,25,50,25,25,293,3.1,37943.0,37943.0,0,37943.0,inf,3.96
351,False,50,35,15,50,35,15,293,2.7,37817.0,37817.0,0,37817.0,inf,4.06
352,False,50,30,25,50,30,25,293,2.7,37781.0,37781.0,0,37781.0,inf,4.2
353,False,35,40,20,35,40,20,293,2.7,37764.0,37764.0,0,37764.0,inf,3.69
354,False,35,20,15,35,20,15,293,2.7,37755.0,37755.0,0,37755.0,inf,3.62
355,True,30,25,25,30,25,25,293,2.7,70242.0,68212.0,30470.0,37742.0,2.24,3.49
356,False,30,45,15,30,45,15,293,2.4,37659.0,37659.0,0,37659.0,inf,4.46
357,False,50,35,30,50,35,30,293,2.7,37630.0,37630.0,0,37630.0,inf,4.03
358,False,35,45,15,35,45,15,293,2.7,37467.0,37467.0,0,37467.0,inf,3.73
359,False,50,40,10,50,40,10,293,3.1,37462.0,37462.0,0,37462.0,inf,4.29
360,False,35,20,20,35,20,20,293,2.7,37404.0,37404.0,0,37404.0,inf,3.55
361,True,40,20,25,40,20,25,293,3.8,87396.0,85946.0,48550.0,37396.0,1.77,2.94
362,False,50,35,25,50,35,25,293,2.7,37348.0,37348.0,0,37348.0,inf,3.99
363,False,45,45,15,45,45,15,293,2.0,37292.0,37292.0,0,37292.0,inf,4.69
364,True,55,20,15,55,20,15,293,5.1,117289.0,114679.0,77390.0,37289.0,1.48,2.53
365,False,45,20,20,45,20,20,293,2.4,37285.0,37285.0,0,37285.0,inf,4.38
366,False,30,40,30,30,40,30,293,2.4,37207.0,37207.0,0,37207.0,inf,4.41
367,False,45,20,15,45,20,15,293,2.4,37188.0,37188.0,0,37188.0,inf,4.5
368,False,30,45,20,30,45,20,293,2.4,37120.0,37120.0,0,37120.0,inf,4.27
369,False,30,20,15,30,20,15,293,2.0,37114.0,37114.0,0,37114.0,inf,4.35
370,False,35,45,20,35,45,20,293,2.7,37054.0,37054.0,0,37054.0,inf,3.6
371,False,35,20,25,35,20,25,293,2.7,36950.0,36950.0,0,36950.0,inf,3.52
372,False,45,45,20,45,45,20,293,2.4,36941.0,36941.0,0,36941.0,inf,4.5
373,True,50,20,15,50,20,15,293,5.1,116927.0,114317.0,77390.0,36927.0,1.48,2.48
374,False,30,40,25,30,40,25,293,2.4,36901.0,36901.0,0,36901.0,inf,4.38
375,False,35,20,30,35,20,30,293,2.7,36885.0,36885.0,0,36885.0,inf,3.54
376,False,35,50,10,35,50,10,293,3.4,36874.0,36874.0,0,36874.0,inf,3.66
377,False,30,50,10,30,50,10,293,3.1,36848.0,36848.0,0,36848.0,inf,4.37
378,False,30,20,20,30,20,20,293,2.0,36830.0,36830.0,0,36830.0,inf,4.26
379,False,35,40,25,35,40,25,293,2.7,36826.0,36826.0,0,36826.0,inf,3.65
380,True,35,20,20,35,20,20,293,3.4,74814.0,72610.0,35796.0,36814.0,2.03,2.85
381,False,35,40,30,35,40,30,293,2.7,36805.0,36805.0,0,36805.0,inf,3.67
382,True,35,35,15,35,35,15,293,3.4,66723.0,64461.0,27738.0,36723.0,2.32,2.96
383,False,45,40,30,45,40,30,293,2.0,36692.0,36692.0,0,36692.0,inf,4.6
384,False,45,50,10,45,50,10,293,2.7,36682.0,36682.0,0,36682.0,inf,4.59
385,True,30,25,10,30,25,10,293,3.8,69159.0,67129.0,30470.0,36659.0,2.2,3.29
386,True,35,35,20,35,35,20,293,3.4,66630.0,64658.0,28028.0,36630.0,2.31,2.85
387,False,45,40,25,45,40,25,293,2.0,36542.0,36542.0,0,36542.0,inf,4.59
388,False,45,20,30,45,20,30,293,2.4,36539.0,36539.0,0,36539.0,inf,4.42
389,True,35,25,30,35,25,30,293,3.4,68932.0,67076.0,30644.0,36432.0,2.19,2.82
390,False,50,45,10,50,45,10,293,3.1,36416.0,36416.0,0,36416.0,inf,4.18
391,False,50,25,10,50,25,10,293,3.4,36375.0,36375.0,0,36375.0,inf,3.92
392,False,50,35,10,50,35,10,293,3.1,36366.0,36366.0,0,36366.0,inf,3.93
393,True,55,20,20,55,20,20,293,5.1,116340.0,114020.0,77680.0,36340.0,1.47,2.41
394,False,50,30,10,50,30,10,293,3.1,36325.0,36325.0,0,36325.0,inf,4.16
395,False,45,20,25,45,20,25,293,2.4,36277.0,36277.0,0,36277.0,inf,4.38
396,False,30,20,30,30,20,30,293,2.0,36264.0,36264.0,0,36264.0,inf,4.25
397,False,30,20,25,30,20,25,293,2.0,36217.0,36217.0,0,36217.0,inf,4.23
398,True,40,20,10,40,20,10,293,4.8,85986.0,84536.0,48550.0,35986.0,1.74,2.77
399,False,35,45,30,35,45,30,293,2.7,35939.0,35939.0,0,35939.0,inf,3.56
400,True,50,20,20,50,20,20,293,5.1,115929.0,113609.0,77680.0,35929.0,1.46,2.38
401,False,45,45,25,45,45,25,293,2.0,35924.0,35924.0,0,35924.0,inf,4.47
402,False,30,45,30,30,45,30,293,2.4,35913.0,35913.0,0,35913.0,inf,4.25
403,False,35,45,25,35,45,25,293,2.7,35789.0,35789.0,0,35789.0,inf,3.55
404,False,35,30,20,35,30,20,293,2.7,35777.0,35777.0,0,35777.0,inf,3.51
405,False,30,45,25,30,45,25,293,2.4,35763.0,35763.0,0,35763.0,inf,4.24
406,False,45,45,30,45,45,30,293,2.0,35747.0,35747.0,0,35747.0,inf,4.47
407,False,35,30,15,35,30,15,293,2.7,35650.0,35650.0,0,35650.0,inf,3.6
408,False,35,25,15,35,25,15,293,2.7,35628.0,35628.0,0,35628.0,inf,3.41
409,False,30,30,20,30,30,20,293,2.0,35477.0,35477.0,0,35477.0,inf,4.27
