rank,dynamic_spread_width,max_trading_hour,min_trading_hour,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
54,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.030:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
55,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.030:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
56,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
57,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
58,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
59,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
60,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
61,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
62,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
63,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.035:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
64,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
65,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
66,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
67,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
68,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
69,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
70,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
71,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.035:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
72,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,10,0.025:0.025,10,100.0,180901.0,180901.0,0.0,180901.0,inf,3.63
73,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,10,0.025:0.030,9,100.0,171630.0,171630.0,0.0,171630.0,inf,3.83
74,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,10,0.025:0.020,5,100.0,150330.0,150330.0,0.0,150330.0,inf,6.03
75,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,10,0.025:0.025,4,100.0,118530.0,118530.0,0.0,118530.0,inf,5.94
76,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,10,0.025:0.030,4,100.0,118530.0,118530.0,0.0,118530.0,inf,5.94
77,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,9,0.030:0.025,2,100.0,19685.0,19685.0,0.0,19685.0,inf,1.98
78,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,9,0.030:0.025,1,100.0,13680.0,13680.0,0.0,13680.0,inf,2.74
79,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,9,0.030:0.030,1,100.0,13680.0,13680.0,0.0,13680.0,inf,2.74
80,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,9,0.030:0.035,1,100.0,13680.0,13680.0,0.0,13680.0,inf,2.74
81,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,9,0.030:0.030,1,100.0,10414.0,10414.0,0.0,10414.0,inf,2.09
82,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,9,0.030:0.035,1,100.0,10414.0,10414.0,0.0,10414.0,inf,2.09
83,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,10,0.030:0.025,1,100.0,9271.0,9271.0,0.0,9271.0,inf,1.86
84,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.020:0.020,25,92.0,2503351.0,-270919.26,997660.0,-1268579.26,-0.2716,-10.17
85,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.020:0.020,25,92.0,2503351.0,-270919.26,997660.0,-1268579.26,-0.2716,-10.17
86,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.020:0.025,24,91.67,2471551.0,-302719.26,997660.0,-1300379.26,-0.3034,-10.85
87,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.020:0.025,24,91.67,2471551.0,-302719.26,997660.0,-1300379.26,-0.3034,-10.85
88,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,9,0.020:0.020,20,95.0,1729738.0,-814700.42,498560.0,-1313260.42,-1.6341,-13.15
89,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,9,0.020:0.025,19,94.74,1697938.0,-846500.42,498560.0,-1345060.42,-1.6979,-14.18
90,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,10,0.020:0.020,15,86.67,1234377.0,-710753.58,658796.6,-1369550.19,-1.0789,-18.31
91,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,10,0.020:0.025,13,84.62,1191017.0,-754113.58,658796.6,-1412910.19,-1.1447,-21.79
92,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.020:0.020,17,88.24,1838562.0,-461283.56,997660.0,-1458943.56,-0.4624,-17.2
93,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.020:0.020,17,88.24,1838562.0,-461283.56,997660.0,-1458943.56,-0.4624,-17.2
94,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.020:0.025,16,87.5,1806762.0,-493083.56,997660.0,-1490743.56,-0.4942,-18.67
95,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.020:0.025,16,87.5,1806762.0,-493083.56,997660.0,-1490743.56,-0.4942,-18.67
96,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,10,0.020:0.020,12,91.67,1064949.0,-1005064.73,498560.0,-1503624.73,-2.0159,-25.11
97,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,10,0.020:0.025,11,90.91,1033149.0,-1036864.73,498560.0,-1535424.73,-2.0797,-27.96
98,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,9,0.020:0.020,23,91.3,1883168.0,-947269.46,658796.6,-1606066.06,-1.4379,-14.0
99,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.020:0.020,20,80.0,2058253.0,-322457.58,1295541.58,-1617999.16,-0.2489,-16.22
100,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.020:0.020,20,80.0,2058253.0,-322457.58,1295541.58,-1617999.16,-0.2489,-16.22
101,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,9,0.020:0.025,21,90.48,1839808.0,-990629.46,658796.6,-1649426.06,-1.5037,-15.75
102,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.020:0.025,18,77.78,2014893.0,-365817.58,1295541.58,-1661359.16,-0.2824,-18.5
103,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.020:0.025,18,77.78,2014893.0,-365817.58,1295541.58,-1661359.16,-0.2824,-18.5
104,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.020:0.020,28,85.71,2707044.0,-558973.46,1295541.58,-1854515.04,-0.4315,-13.28
105,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.020:0.020,28,85.71,2707044.0,-558973.46,1295541.58,-1854515.04,-0.4315,-13.28
106,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.020:0.025,26,84.62,2663684.0,-602333.46,1295541.58,-1897875.04,-0.4649,-14.64
107,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.020:0.025,26,84.62,2663684.0,-602333.46,1295541.58,-1897875.04,-0.4649,-14.64
