param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.002:0.0075,-603038.5069704587,0.9221490997008739,82.34234234234235,1665,1371,294,16905500.0,7143031.283531726,7746069.790502185,-1.2352790097309572,603.6036036036048
0.001:0.0075,-762769.9444704587,0.9077817666522441,81.56324582338902,1676,1367,309,17951867.0,7508587.213219226,8271357.157689685,-1.5525817328599278,689.3597852028652
0.025:0.001,-791710.5592759745,0.8848289297293911,76.83946488294315,1196,919,277,15246303.0,6082503.229097714,6874213.788373688,-2.2581785554962854,-116.8035117056852
0.003:0.01,-794287.5703125,0.8673964538172221,85.71428571428571,1526,1308,218,12973797.0,5195654.578125,5989942.1484375,-1.775531387020866,592.5930537352533
0.015:0.0075,-821096.7960329582,0.8213652402714186,87.01492537313433,1340,1166,174,9847613.0,3775415.088219227,4596511.884252185,-2.0829770793568105,432.5470149253747
0.00075:0.0075,-833969.3585329587,0.9014131962361221,81.26491646778044,1676,1362,314,18144442.0,7625269.877281726,8459239.235814685,-1.6976801031644384,643.1634844868759
0.02:0.001,-861504.1042474583,0.8784889642731475,78.01526717557252,1310,1022,288,15944544.0,6228420.684016661,7089924.788264119,-2.2440287870076956,97.36183206106853
0.025:0.00075,-957871.1686509745,0.8657707801123251,75.97998331943286,1199,911,288,15706267.0,6178214.174410214,7136085.343061188,-2.724225196115775,-352.5713094245202
0.005:0.01,-1023534.546875,0.8069618672160748,87.22408026755852,1495,1304,191,11215601.0,4278705.6484375,5302240.1953125,-2.334151045866196,372.9772575250813
0.02:0.00075,-1027664.7136224583,0.8602158349220718,77.22772277227723,1313,1014,299,16404508.0,6324131.629329161,7351796.342951619,-2.6697796381238663,-118.42498095963128
0.002:0.01,-1034095.765625,0.8475005255941447,83.65885416666666,1536,1285,251,14117914.0,5746883.4453125,6780979.2109375,-2.296302246808047,313.42057291666333
0.01:0.0075,-1053683.7569704577,0.803622080562854,86.5063460253841,1497,1295,202,11533086.0,4311908.056969227,5365591.813939685,-2.395611625128354,293.3106212424864
0.003:0.003,-1104121.0558123793,0.8843454325734619,79.37569676700112,1794,1424,370,21083229.0,8442592.752215123,9546713.808027502,-2.1012957803401204,567.0172798216272
0.0075:0.0075,-1152907.8741579587,0.7997189959149,86.27700127064803,1574,1358,216,12441607.0,4603543.564781726,5756451.438939685,-2.494991330257487,308.51778907242624
0.001:0.01,-1193827.203125,0.8366022933382523,82.80542986425338,1547,1281,266,15164281.0,6112439.375,7306266.578125,-2.632810156295778,408.3910795087231
0.015:0.01,-1252154.0546875,0.6551889881046855,89.18249380677126,1211,1080,131,7060027.0,2379267.25,3631421.3046875,-3.5138840265366067,46.2650701899247
0.00075:0.01,-1265026.6171875,0.8311980886404637,82.48222365869424,1547,1276,271,15356856.0,6229122.0390625,7494148.65625,-2.7901422602674195,358.3425985778895
0.005:0.003,-1333368.0323748793,0.8494902079133121,80.54452637549632,1763,1420,343,19325033.0,7525643.822527623,8859011.854902502,-2.5810470075888343,380.33635847986625
0.002:0.003,-1343929.2511248775,0.869997906899037,77.66075388026607,1804,1401,403,22227346.0,8993821.619402625,10337750.870527502,-2.543265997057751,329.4600886917942
0.003:0.025,-1431288.234375,0.6891297979605868,83.15163528245787,1009,839,170,9268752.0,3172846.3046875,4604134.5390625,-4.840871354451967,117.1972249752207
0.003:0.015,-1479978.2578125,0.7205025579474438,85.3395061728395,1296,1106,190,10603236.0,3815162.359375,5295140.6171875,-3.887848879963897,109.36419753086375
0.01:0.01,-1484741.015625,0.6625972959564738,88.37719298245614,1368,1209,159,8745500.0,2915760.21875,4400501.234375,-3.6934774885569297,-61.769005847954304
0.001:0.003,-1503660.6886248775,0.8615800979688748,76.96969696969697,1815,1397,418,23273713.0,9359377.549090125,10863038.237715002,-2.8288872223250574,410.31019283746537
0.015:0.003,-1561987.540187384,0.7827009447367582,80.86544962812712,1479,1196,283,15169459.0,5626205.424090123,7188192.964277507,-3.595401128056628,114.23867478026114
0.00075:0.003,-1574860.1026873775,0.857490592848631,76.69421487603306,1815,1392,423,23466288.0,9476060.213152625,11050920.315840002,-2.9631199768065453,367.65179063360847
0.0075:0.01,-1583965.1328125,0.6694122652621248,88.02768166089966,1445,1272,173,9654021.0,3207395.7265625,4791360.859375,-3.733655282104727,-26.283044982697447
0.005:0.025,-1660535.2109375,0.5760082231723114,85.37832310838446,978,835,143,7510556.0,2255897.375,3916432.5859375,-5.789479300766712,-233.58282208588753
0.002:0.025,-1671096.4296875,0.6902607455148354,80.0785083415113,1019,816,203,10412869.0,3724075.171875,5395171.6015625,-5.595570324265851,-298.9509322865524
0.005:0.015,-1709225.234375,0.6290291940928561,87.11462450592884,1265,1102,163,8845040.0,2898213.4296875,4607438.6640625,-4.596920749672691,-162.02371541502316
0.002:0.015,-1719786.453125,0.7174274982367416,82.92496171516079,1306,1083,223,11747353.0,4366391.2265625,6086177.6796875,-4.482737592046656,-215.27335375191615
0.01:0.003,-1794574.501124884,0.7744736764669798,80.99022004889976,1636,1325,311,16854932.0,6162698.392840123,7957272.893965007,-3.7380296390529373,17.37897310513381
0.003:0.002,-1829720.6755434107,0.8253425959170894,77.53182069728832,1807,1401,406,22564303.0,8646334.921131061,10476055.596674472,-3.459960968978966,154.8439402324302
0.001:0.025,-1830827.8671875,0.6907625106683162,78.83495145631068,1030,812,218,11459236.0,4089631.1015625,5920458.96875,-6.067212969943363,-149.77087378640954
0.001:0.015,-1879517.890625,0.7157183956506916,81.92862566438876,1317,1079,238,12793720.0,4731947.15625,6611465.046875,-4.859676755387998,-99.30144267274227
0.015:0.025,-1889154.71875,0.15873566201817052,88.04034582132564,694,611,83,3354982.0,356458.97656249994,2245613.6953125,-9.230690204367063,-1051.8991354466866
0.0075:0.003,-1893798.618312384,0.7731470345002172,81.02743724460012,1713,1388,325,17763453.0,6454333.900652623,8348132.518965007,-3.769987849578657,43.75539988324908
0.00075:0.025,-1902027.28125,0.6886180279303382,78.3495145631068,1030,807,223,11651811.0,4206313.765625,6108341.046875,-6.304222224590231,-224.9407766990289
0.003:0.02,-1932332.2421875,0.6267100605801081,83.0909090909091,1100,914,186,9819191.0,3244159.375,5176491.6171875,-5.990648822937598,-237.55363636363654
0.015:0.015,-1937844.7421875,0.340110435911446,89.50050968399592,981,878,103,4689466.0,998775.03125,2936619.7734375,-6.690058922762778,-720.2181447502576
0.00075:0.015,-1950717.3046875,0.7131022627871054,81.54897494305239,1317,1074,243,12986295.0,4848629.8203125,6799347.125,-5.044431707897489,-158.09035687168034
