trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
104	f1c0d53	discard	toggle_dte	11.5885	11.589	11.220	56774.29	0.00	100.00	+3.3	80	100	0,1,2,3	conservative	call,put
105	d0803e9	discard	swap_tiers	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
106	d0803e9	discard	swap_tiers	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
107	550c39b	discard	shift_profit_target	11.6752	11.675	11.220	57924.98	0.00	100.00	+4.1	85	100	0,1,3	conservative	call,put
108	2d0823a	keep	shift_profit_target	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	call,put
109	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
110	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
111	ae04c21	discard	shift_profit_target	11.7457	11.746	11.220	57566.57	0.00	100.00	+4.7	60	100	0,1,3	conservative	call,put
112	69bca02	discard	shift_profit_target	11.7463	11.746	11.220	57659.83	0.00	100.00	+4.7	65	100	0,1,3	conservative	call,put
113	7199ef7	discard	shift_stop_loss	11.6885	11.688	11.220	57403.23	0.00	100.00	+4.2	70	50	0,1,3	conservative	call,put
114	d0803e9	discard	shift_profit_target	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
115	7199ef7	discard	shift_stop_loss	11.6885	11.688	11.220	57403.23	0.00	100.00	+4.2	70	50	0,1,3	conservative	call,put
116	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
117	d0803e9	discard	shift_profit_target	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
118	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
119	791289f	discard	toggle_dte	11.6510	11.651	11.220	56527.87	0.00	100.00	+3.8	70	100	0,1,2,3	conservative	call,put
