trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
80	e7f4bac	discard	toggle_dte	11.1556	11.156	11.220	54530.02	0.00	100.00	-0.6	30	9999	0,1,3	aggressive,conservative,moderate	put
81	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
82	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
83	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
84	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
85	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
86	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
87	e7f4bac	discard	toggle_dte	11.1556	11.156	11.220	54530.02	0.00	100.00	-0.6	30	9999	0,1,3	aggressive,conservative,moderate	put
88	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
89	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
90	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
91	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
92	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
93	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
94	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
95	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
96	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
97	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
98	36e5fa4	discard	swap_tiers	11.3447	11.345	11.220	58274.22	0.00	100.00	+1.1	30	9999	0,3	moderate	put
99	ecd91da	discard	swap_tiers	11.4155	11.416	11.220	57842.14	0.00	100.00	+1.7	30	9999	0,3	conservative,moderate	put
100	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
101	a975223	discard	swap_tiers	11.3604	11.360	11.220	56812.35	0.00	100.00	+1.3	30	9999	0,3	aggressive,moderate	put
102	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
103	36e5fa4	discard	swap_tiers	11.3447	11.345	11.220	58274.22	0.00	100.00	+1.1	30	9999	0,3	moderate	put
104	eccef70	discard	swap_tiers	11.2952	11.295	11.220	59141.65	0.00	100.00	+0.7	30	9999	0,3	conservative	put
105	ecd91da	discard	swap_tiers	11.4155	11.416	11.220	57842.14	0.00	100.00	+1.7	30	9999	0,3	conservative,moderate	put
106	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
107	e7f4bac	discard	toggle_dte	11.1556	11.156	11.220	54530.02	0.00	100.00	-0.6	30	9999	0,1,3	aggressive,conservative,moderate	put
108	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
109	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
110	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
