rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
370,10,30,12,6,both,0.02,0.0075,526,90.49,4031441.0,1754616.6,1843512.95,-88896.35,0.9518,-0.35
371,10,20,11,6,both,0.015,0.0125,319,91.85,1734537.0,975944.85,1066205.51,-90260.66,0.9153,-0.57
372,20,30,13,7,both,0.02,0.0075,468,89.53,4341129.0,1745773.69,1836406.07,-90632.38,0.9506,-0.4
373,10,20,12,7,both,0.015,0.0125,292,90.75,2055191.0,1013749.79,1104856.21,-91106.41,0.9175,-0.63
374,20,10,12,6,both,0.015,0.0125,215,88.84,1502061.0,915005.4,1007526.78,-92521.37,0.9082,-0.87
375,10,30,13,6,both,0.02,0.0125,321,93.15,1966678.0,674460.2,768081.22,-93621.02,0.8781,-0.6
376,30,30,13,9,both,0.015,0.0075,299,83.95,4316972.0,1697747.88,1791400.1,-93652.22,0.9477,-0.64
377,30,20,13,8,both,0.015,0.0125,228,89.91,2309984.0,966697.69,1060777.64,-94079.95,0.9113,-0.84
378,20,20,11,8,both,0.015,0.01,291,85.91,2507212.0,1197921.65,1292699.1,-94777.45,0.9267,-0.66
379,10,20,10,7,both,0.015,0.01,368,88.86,2004841.0,1173681.69,1269477.75,-95796.06,0.9245,-0.53
380,30,30,10,7,both,0.02,0.01,361,91.41,1886340.0,1018291.87,1115869.25,-97577.38,0.9126,-0.56
381,20,30,10,7,both,0.02,0.01,361,91.41,1885929.0,1017880.87,1115869.25,-97988.38,0.9122,-0.56
382,20,30,12,6,both,0.02,0.0125,322,93.79,1796394.0,697735.2,796691.0,-98955.8,0.8758,-0.63
383,30,30,8,6,both,0.015,0.01,400,90.5,1280320.0,877929.31,977459.36,-99530.05,0.8982,-0.51
384,20,10,8,7,both,0.015,0.01,139,90.65,374481.0,328169.71,429767.71,-101598.0,0.7636,-1.48
385,10,20,11,6,both,0.015,0.005,597,87.44,5832444.0,2899545.74,3001826.55,-102280.8,0.9659,-0.35
386,10,30,9,6,both,0.02,0.01,400,92.5,1487909.0,880331.0,982623.32,-102292.32,0.8959,-0.53
387,20,10,12,7,both,0.015,0.0125,208,88.46,1491664.0,904608.4,1007526.78,-102918.37,0.8979,-1.0
388,10,30,12,9,both,0.015,0.01,235,84.26,2680218.0,1112324.19,1216116.68,-103792.5,0.9147,-0.9
389,30,10,10,7,both,0.015,0.0125,189,88.89,841197.0,704937.83,810021.83,-105084.01,0.8703,-1.12
390,20,10,9,7,both,0.015,0.0125,165,89.7,639082.0,547430.28,652772.01,-105341.73,0.8386,-1.29
391,20,10,9,8,both,0.015,0.01,118,88.98,545409.0,422220.62,527890.04,-105669.42,0.7998,-1.81
392,30,20,7,6,both,0.015,0.0125,105,94.29,182766.0,142809.29,248957.3,-106148.01,0.5736,-2.05
393,20,20,8,7,both,0.015,0.0125,211,92.89,544203.0,436475.71,543480.33,-107004.62,0.8031,-1.03
394,30,10,9,7,both,0.015,0.0125,165,89.7,631550.0,541179.9,651958.9,-110779.0,0.8301,-1.36
395,10,30,13,9,both,0.015,0.005,379,82.85,6560728.0,2628333.05,2739968.53,-111635.48,0.9593,-0.6
396,10,20,11,7,both,0.015,0.0125,291,91.07,1712589.0,954212.85,1066421.51,-112208.66,0.8948,-0.78
397,10,30,9,6,both,0.02,0.0125,312,94.87,820084.0,540162.0,653147.73,-112985.73,0.827,-0.74
398,30,30,12,8,both,0.015,0.0075,385,85.71,4119496.0,1799761.75,1912839.19,-113077.44,0.9409,-0.6
399,20,30,13,7,both,0.025,0.01,361,90.86,2803369.0,1116515.44,1230159.72,-113644.28,0.9076,-0.65
400,30,30,13,7,both,0.025,0.01,361,90.86,2803369.0,1116515.44,1230159.72,-113644.28,0.9076,-0.65
401,10,30,13,7,both,0.025,0.01,361,90.86,2803065.0,1116211.44,1230159.72,-113948.28,0.9074,-0.65
402,30,30,10,8,both,0.015,0.0125,220,89.55,1151041.0,777686.84,891922.84,-114236.0,0.8719,-1.06
403,20,30,11,9,both,0.015,0.01,230,83.91,2380489.0,1012758.6,1132377.46,-119618.86,0.8944,-1.06
404,10,30,10,7,both,0.02,0.01,361,91.41,1862407.0,994358.87,1115869.25,-121510.38,0.8911,-0.69
405,30,30,7,6,both,0.02,0.0125,119,94.96,184845.0,127889.0,249737.16,-121848.16,0.5121,-2.11
406,20,30,12,7,both,0.025,0.01,361,91.14,2613332.0,1068893.55,1190910.91,-122017.37,0.8975,-0.69
407,30,30,12,7,both,0.025,0.01,361,91.14,2613332.0,1068893.55,1190910.91,-122017.37,0.8975,-0.69
408,20,30,11,7,both,0.02,0.005,555,87.39,5694109.0,2662794.1,2784842.57,-122048.47,0.9562,-0.45
409,10,30,12,7,both,0.025,0.01,361,91.14,2613028.0,1068589.55,1190910.91,-122321.37,0.8973,-0.7
410,30,30,11,7,both,0.02,0.005,555,87.39,5692046.0,2660731.1,2784842.57,-124111.47,0.9554,-0.46
411,20,30,7,6,both,0.02,0.0125,119,94.96,182290.0,125334.0,249737.16,-124403.16,0.5019,-2.16
412,20,20,12,8,both,0.015,0.0125,226,88.5,2002706.0,964038.4,1089416.54,-125378.13,0.8849,-1.12
413,20,30,11,6,both,0.02,0.0125,321,93.77,1495374.0,675625.11,801537.63,-125912.52,0.8429,-0.8
414,20,10,11,6,both,0.015,0.0125,208,88.46,1197875.0,837212.94,963298.53,-126085.6,0.8691,-1.22
415,30,30,11,6,both,0.02,0.0125,321,93.77,1495125.0,675376.11,801537.63,-126161.52,0.8426,-0.81
416,30,30,9,6,both,0.015,0.005,598,86.96,4556409.0,2565844.48,2692432.36,-126587.88,0.953,-0.43
417,20,30,13,10,both,0.015,0.0125,143,83.92,2004360.0,666707.99,794245.59,-127537.61,0.8394,-1.82
418,10,30,12,8,both,0.015,0.0075,384,85.42,4125038.0,1801531.22,1929092.83,-127561.61,0.9339,-0.68
419,10,30,13,7,both,0.02,0.0125,286,92.31,1931846.0,639628.2,768081.22,-128453.02,0.8328,-0.92
420,20,30,9,6,both,0.025,0.01,397,92.44,1461244.0,853666.0,982623.32,-128957.32,0.8688,-0.67
421,30,30,9,6,both,0.025,0.01,397,92.44,1461244.0,853666.0,982623.32,-128957.32,0.8688,-0.67
422,20,30,9,6,both,0.015,0.005,598,86.79,4560099.0,2567209.18,2696576.1,-129366.92,0.952,-0.44
423,10,30,10,7,both,0.015,0.005,565,86.19,5229605.0,2675683.75,2805632.51,-129948.76,0.9537,-0.47
424,20,20,7,6,both,0.015,0.0125,105,93.33,163261.0,122068.41,252287.93,-130219.52,0.4838,-2.51
