rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2576,30,30,13,10,both,0.015,0.0075,44,84.09,770283.0,307155.0,346872.0,-39717.0,0.8855,-1.85
2577,30,10,13,11,both,0.025,0.01,19,78.95,309039.0,159780.89,199507.0,-39726.11,0.8009,-4.23
2578,20,10,13,11,both,0.025,0.01,19,78.95,308744.0,159485.89,199507.0,-40021.11,0.7994,-4.24
2579,20,10,12,10,both,0.015,0.0075,43,86.05,521975.0,259000.0,299025.0,-40025.0,0.8661,-1.88
2580,10,10,13,11,both,0.015,0.0075,24,79.17,401604.0,209100.89,249262.0,-40161.11,0.8389,-3.36
2581,20,10,12,9,both,0.02,0.0075,41,85.37,561637.0,258518.0,298881.0,-40363.0,0.865,-1.98
2582,30,10,12,9,both,0.02,0.0075,41,85.37,561637.0,258518.0,298881.0,-40363.0,0.865,-1.98
2583,10,10,12,9,both,0.02,0.0075,41,85.37,561591.0,258472.0,298881.0,-40409.0,0.8648,-1.99
2584,10,10,12,9,both,0.025,0.0075,41,85.37,561591.0,258472.0,298881.0,-40409.0,0.8648,-1.99
2585,20,10,12,9,both,0.025,0.0075,41,85.37,561591.0,258472.0,298881.0,-40409.0,0.8648,-1.99
2586,30,10,12,9,both,0.025,0.0075,41,85.37,561591.0,258472.0,298881.0,-40409.0,0.8648,-1.99
2587,20,10,13,9,both,0.02,0.0075,41,85.37,568182.0,258518.0,299336.0,-40818.0,0.8636,-2.01
2588,30,10,13,9,both,0.02,0.0075,41,85.37,568182.0,258518.0,299336.0,-40818.0,0.8636,-2.01
2589,10,10,13,9,both,0.02,0.0075,41,85.37,568136.0,258472.0,299336.0,-40864.0,0.8635,-2.01
2590,10,10,13,9,both,0.025,0.0075,41,85.37,568136.0,258472.0,299336.0,-40864.0,0.8635,-2.01
2591,20,10,13,9,both,0.025,0.0075,41,85.37,568136.0,258472.0,299336.0,-40864.0,0.8635,-2.01
2592,30,10,13,9,both,0.025,0.0075,41,85.37,568136.0,258472.0,299336.0,-40864.0,0.8635,-2.01
2593,20,10,13,10,both,0.02,0.0125,26,80.77,446668.0,207895.0,249227.0,-41332.0,0.8342,-3.21
2594,20,30,13,10,both,0.02,0.005,44,84.09,768524.0,305396.0,346872.0,-41476.0,0.8804,-1.93
2595,30,10,13,10,both,0.02,0.0125,26,80.77,446303.0,207530.0,249227.0,-41697.0,0.8327,-3.24
2596,20,10,12,11,both,0.015,0.0075,21,80.95,294119.0,157126.0,199007.0,-41881.0,0.7896,-4.02
2597,20,30,9,8,both,0.02,0.01,36,88.89,242993.0,154152.0,196159.0,-42007.0,0.7859,-2.39
2598,30,30,13,10,both,0.02,0.005,44,84.09,767844.0,304716.0,346872.0,-42156.0,0.8785,-1.97
2599,10,10,12,10,both,0.015,0.005,45,86.67,519820.0,256845.0,299025.0,-42180.0,0.8589,-1.89
2600,10,30,9,8,both,0.02,0.01,35,88.57,242809.0,153968.0,196159.0,-42191.0,0.7849,-2.47
2601,10,30,13,10,both,0.02,0.005,44,84.09,767738.0,304610.0,346872.0,-42262.0,0.8782,-1.97
2602,30,30,9,8,both,0.02,0.01,36,88.89,242687.0,153846.0,196159.0,-42313.0,0.7843,-2.4
2603,10,10,13,10,both,0.02,0.0125,26,80.77,445505.0,206732.0,249227.0,-42495.0,0.8295,-3.29
2604,10,20,11,10,both,0.02,0.0125,20,80.0,327352.0,154712.0,197360.0,-42648.0,0.7839,-4.31
2605,20,20,11,10,both,0.02,0.0125,20,80.0,327352.0,154712.0,197360.0,-42648.0,0.7839,-4.31
2606,30,20,11,10,both,0.02,0.0125,20,80.0,327352.0,154712.0,197360.0,-42648.0,0.7839,-4.31
2607,10,20,11,10,both,0.025,0.0125,20,80.0,327352.0,154712.0,197360.0,-42648.0,0.7839,-4.31
2608,20,20,11,10,both,0.025,0.0125,20,80.0,327352.0,154712.0,197360.0,-42648.0,0.7839,-4.31
2609,30,20,11,10,both,0.025,0.0125,20,80.0,327352.0,154712.0,197360.0,-42648.0,0.7839,-4.31
2610,20,20,8,7,both,0.02,0.0125,39,89.74,323257.0,155672.0,198415.0,-42743.0,0.7846,-2.23
2611,20,10,12,10,both,0.02,0.0125,26,80.77,425975.0,206245.0,249270.0,-43025.0,0.8274,-3.34
2612,10,20,8,7,both,0.02,0.0125,39,89.74,322879.0,155294.0,198415.0,-43121.0,0.7827,-2.24
2613,30,20,8,7,both,0.02,0.0125,39,89.74,322878.0,155293.0,198415.0,-43122.0,0.7827,-2.25
2614,10,30,13,10,both,0.025,0.005,44,84.09,766852.0,303724.0,346872.0,-43148.0,0.8756,-2.01
2615,30,10,12,10,both,0.02,0.0125,26,80.77,425610.0,205880.0,249270.0,-43390.0,0.8259,-3.37
2616,20,10,9,8,both,0.02,0.0125,32,87.5,209587.0,154982.0,198395.0,-43413.0,0.7812,-2.74
2617,10,10,9,8,both,0.02,0.0125,31,87.1,209403.0,154798.0,198395.0,-43597.0,0.7803,-2.84
2618,30,10,9,8,both,0.02,0.0125,32,87.5,209281.0,154676.0,198395.0,-43719.0,0.7796,-2.76
2619,10,10,13,10,both,0.025,0.0125,26,80.77,444249.0,205476.0,249227.0,-43751.0,0.8245,-3.39
2620,30,10,12,10,both,0.015,0.0075,43,86.05,518127.0,255152.0,299025.0,-43873.0,0.8533,-2.06
2621,10,20,10,9,both,0.015,0.0125,35,88.57,300052.0,153802.0,197750.0,-43948.0,0.7778,-2.54
2622,10,10,11,10,both,0.02,0.005,32,87.5,316733.0,155107.0,199374.0,-44267.0,0.778,-2.79
2623,20,10,11,10,both,0.02,0.005,32,87.5,316733.0,155107.0,199374.0,-44267.0,0.778,-2.79
2624,30,10,11,10,both,0.02,0.005,32,87.5,316733.0,155107.0,199374.0,-44267.0,0.778,-2.79
2625,10,10,11,10,both,0.025,0.005,32,87.5,316733.0,155107.0,199374.0,-44267.0,0.778,-2.79
2626,20,10,11,10,both,0.025,0.005,32,87.5,316733.0,155107.0,199374.0,-44267.0,0.778,-2.79
2627,30,10,11,10,both,0.025,0.005,32,87.5,316733.0,155107.0,199374.0,-44267.0,0.778,-2.79
2628,20,10,13,10,both,0.02,0.005,41,85.37,536538.0,254520.0,298982.0,-44462.0,0.8513,-2.19
2629,20,20,10,9,both,0.015,0.0125,35,88.57,299474.0,153224.0,197750.0,-44526.0,0.7748,-2.58
2630,20,30,13,10,both,0.025,0.005,44,84.09,765378.0,302250.0,346872.0,-44622.0,0.8714,-2.08
2631,30,30,13,10,both,0.025,0.005,44,84.09,765378.0,302250.0,346872.0,-44622.0,0.8714,-2.08
