rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2423,10,20,10,7,both,0.015,0.0125,16,68.75,111998.0,23892.0,245894.0,-222002.0,0.0972,-28.14
2424,10,30,9,6,both,0.02,0.0125,20,75.0,83901.0,21147.0,243246.0,-222099.0,0.0869,-22.84
2425,20,30,9,6,both,0.02,0.0125,20,75.0,83901.0,21147.0,243246.0,-222099.0,0.0869,-22.84
2426,30,30,9,6,both,0.02,0.0125,20,75.0,83901.0,21147.0,243246.0,-222099.0,0.0869,-22.84
2427,10,30,9,6,both,0.025,0.0125,20,75.0,83901.0,21147.0,243246.0,-222099.0,0.0869,-22.84
2428,20,30,9,6,both,0.025,0.0125,20,75.0,83901.0,21147.0,243246.0,-222099.0,0.0869,-22.84
2429,30,30,9,6,both,0.025,0.0125,20,75.0,83901.0,21147.0,243246.0,-222099.0,0.0869,-22.84
2430,10,20,13,9,both,0.015,0.0125,10,50.0,366254.0,14586.0,236800.0,-222214.0,0.0616,-45.01
2431,10,20,13,9,both,0.02,0.0125,10,50.0,366254.0,14586.0,236800.0,-222214.0,0.0616,-45.01
2432,10,20,13,9,both,0.025,0.0125,10,50.0,366254.0,14586.0,236800.0,-222214.0,0.0616,-45.01
2433,20,20,13,9,both,0.025,0.0125,10,50.0,366254.0,14586.0,236800.0,-222214.0,0.0616,-45.01
2434,30,20,13,9,both,0.025,0.0125,10,50.0,366254.0,14586.0,236800.0,-222214.0,0.0616,-45.01
2435,20,30,12,9,both,0.015,0.0125,11,54.55,344742.0,23682.0,245940.0,-222258.0,0.0963,-41.6
2436,20,20,10,7,both,0.015,0.0125,16,68.75,111724.0,23618.0,245894.0,-222276.0,0.096,-28.18
2437,30,20,10,7,both,0.015,0.0125,16,68.75,111724.0,23618.0,245894.0,-222276.0,0.096,-28.18
2438,10,20,11,6,both,0.015,0.0125,21,76.19,239710.0,24842.0,247132.0,-222290.0,0.1005,-21.39
2439,20,20,11,6,both,0.015,0.0125,22,77.27,239568.0,24700.0,247132.0,-222432.0,0.0999,-20.44
2440,30,20,11,6,both,0.015,0.0125,22,77.27,239568.0,24700.0,247132.0,-222432.0,0.0999,-20.44
2441,20,10,13,9,both,0.015,0.0125,13,61.54,290508.0,26578.0,249070.0,-222492.0,0.1067,-34.47
2442,10,30,12,6,both,0.02,0.0125,20,75.0,344417.0,23357.0,245940.0,-222583.0,0.095,-22.87
2443,10,30,12,6,both,0.025,0.0125,20,75.0,344417.0,23357.0,245940.0,-222583.0,0.095,-22.87
2444,20,30,12,6,both,0.025,0.0125,20,75.0,344417.0,23357.0,245940.0,-222583.0,0.095,-22.87
2445,30,30,12,6,both,0.025,0.0125,20,75.0,344417.0,23357.0,245940.0,-222583.0,0.095,-22.87
2446,20,30,13,6,both,0.02,0.0125,21,76.19,368327.0,24116.0,246789.0,-222673.0,0.0977,-21.77
2447,30,30,13,6,both,0.02,0.0125,21,76.19,368327.0,24116.0,246789.0,-222673.0,0.0977,-21.77
2448,10,20,8,6,both,0.015,0.01,31,83.87,111298.0,23116.0,245818.0,-222702.0,0.094,-14.52
2449,20,20,8,6,both,0.015,0.01,32,84.38,111156.0,22974.0,245818.0,-222844.0,0.0935,-14.08
2450,30,20,8,6,both,0.015,0.01,32,84.38,111156.0,22974.0,245818.0,-222844.0,0.0935,-14.08
2451,20,10,13,6,both,0.02,0.01,15,66.67,349039.0,25291.0,248252.0,-222961.0,0.1019,-29.99
2452,20,10,13,7,both,0.02,0.01,15,66.67,349039.0,25291.0,248252.0,-222961.0,0.1019,-29.99
2453,30,10,13,6,both,0.02,0.01,15,66.67,349039.0,25291.0,248252.0,-222961.0,0.1019,-29.99
2454,30,10,13,7,both,0.02,0.01,15,66.67,349039.0,25291.0,248252.0,-222961.0,0.1019,-29.99
2455,10,30,11,7,both,0.02,0.0125,15,66.67,254008.0,21504.0,244496.0,-222992.0,0.088,-30.48
2456,20,30,11,7,both,0.02,0.0125,15,66.67,254008.0,21504.0,244496.0,-222992.0,0.088,-30.48
2457,30,30,11,7,both,0.02,0.0125,15,66.67,254008.0,21504.0,244496.0,-222992.0,0.088,-30.48
2458,10,30,11,7,both,0.025,0.0125,15,66.67,254008.0,21504.0,244496.0,-222992.0,0.088,-30.48
2459,20,30,11,7,both,0.025,0.0125,15,66.67,254008.0,21504.0,244496.0,-222992.0,0.088,-30.48
2460,30,30,11,7,both,0.025,0.0125,15,66.67,254008.0,21504.0,244496.0,-222992.0,0.088,-30.48
2461,30,10,12,10,both,0.015,0.01,11,54.55,301992.0,25522.0,248530.0,-223008.0,0.1027,-40.92
2462,20,10,12,7,both,0.02,0.01,15,66.67,301761.0,25291.0,248530.0,-223239.0,0.1018,-30.02
2463,20,10,12,6,both,0.02,0.01,15,66.67,301761.0,25291.0,248530.0,-223239.0,0.1018,-30.02
2464,30,10,12,7,both,0.02,0.01,15,66.67,301761.0,25291.0,248530.0,-223239.0,0.1018,-30.02
2465,30,10,12,6,both,0.02,0.01,15,66.67,301761.0,25291.0,248530.0,-223239.0,0.1018,-30.02
2466,10,20,11,7,both,0.015,0.0125,16,68.75,238760.0,23892.0,247132.0,-223240.0,0.0967,-28.25
2467,10,30,9,7,both,0.02,0.0125,15,66.67,67722.0,18274.0,241552.0,-223278.0,0.0757,-30.51
2468,20,30,9,7,both,0.02,0.0125,15,66.67,67722.0,18274.0,241552.0,-223278.0,0.0757,-30.51
2469,30,30,9,7,both,0.02,0.0125,15,66.67,67722.0,18274.0,241552.0,-223278.0,0.0757,-30.51
2470,10,30,9,7,both,0.025,0.0125,15,66.67,67722.0,18274.0,241552.0,-223278.0,0.0757,-30.51
2471,20,30,9,7,both,0.025,0.0125,15,66.67,67722.0,18274.0,241552.0,-223278.0,0.0757,-30.51
2472,30,30,9,7,both,0.025,0.0125,15,66.67,67722.0,18274.0,241552.0,-223278.0,0.0757,-30.51
2473,10,30,13,6,both,0.02,0.0125,20,75.0,367568.0,23357.0,246789.0,-223432.0,0.0946,-22.94
2474,10,30,13,6,both,0.025,0.0125,20,75.0,367568.0,23357.0,246789.0,-223432.0,0.0946,-22.94
2475,20,30,13,6,both,0.025,0.0125,20,75.0,367568.0,23357.0,246789.0,-223432.0,0.0946,-22.94
2476,30,30,13,6,both,0.025,0.0125,20,75.0,367568.0,23357.0,246789.0,-223432.0,0.0946,-22.94
2477,30,20,12,9,both,0.015,0.0125,11,54.55,344494.0,25186.0,248692.0,-223506.0,0.1013,-41.12
2478,20,20,11,7,both,0.015,0.0125,16,68.75,238486.0,23618.0,247132.0,-223514.0,0.0956,-28.29
2479,30,20,11,7,both,0.015,0.0125,16,68.75,238486.0,23618.0,247132.0,-223514.0,0.0956,-28.29
2480,20,30,12,7,both,0.02,0.0125,16,68.75,343323.0,22263.0,245940.0,-223677.0,0.0905,-28.62
2481,30,30,12,7,both,0.02,0.0125,16,68.75,343323.0,22263.0,245940.0,-223677.0,0.0905,-28.62
2482,10,10,13,6,both,0.02,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
2483,10,10,13,7,both,0.02,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
2484,10,10,13,6,both,0.025,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
2485,10,10,13,7,both,0.025,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
2486,20,10,13,6,both,0.025,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
