config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi
DTE5_p96_w15_with_flow,5,96,15,with_flow,23,13,2178,2.1616528925619836,2060.9237832874196,0.1519315073735733
DTE5_p96_w20_neutral,5,96,20,neutral,23,1,8,7.285,12.715,60.950712248168294
DTE5_p96_w20_with_flow,5,96,20,with_flow,23,13,2566,2.34230319563523,2293.2169602494155,0.34327159116727246
DTE5_p96_w25_neutral,5,96,25,neutral,23,3,97,8.718453608247422,16.281546391752578,153.7608929714025
DTE5_p96_w25_with_flow,5,96,25,with_flow,23,23,10150,4.684045320197044,3870.575597044335,1.6506875249121096
DTE5_p96_w30_neutral,5,96,30,neutral,23,1,26,20.215769230769233,9.78423076923077,738.378255610204
DTE5_p96_w30_with_flow,5,96,30,with_flow,23,23,10428,4.691159378596088,3951.8003826237054,2.022495214146161
DTE5_p96_w50_neutral,5,96,50,neutral,23,17,884,21.082432126696837,28.917567873303163,247.29355002939886
DTE5_p96_w50_with_flow,5,96,50,with_flow,23,23,23912,6.932989712278354,6374.167160003345,9.291893433298883
DTE5_p97_w15_neutral,5,97,15,neutral,23,0,0,0.0,0.0,0.0
DTE5_p97_w15_with_flow,5,97,15,with_flow,23,12,1789,2.1630631637786473,2063.1794298490777,0.15624185346663164
DTE5_p97_w20_neutral,5,97,20,neutral,23,0,0,0.0,0.0,0.0
DTE5_p97_w20_with_flow,5,97,20,with_flow,23,12,2100,2.2033095238095237,2313.954761904762,0.14693640392126017
DTE5_p97_w25_neutral,5,97,25,neutral,23,3,83,9.080963855421686,15.919036144578312,172.5216760322548
DTE5_p97_w25_with_flow,5,97,25,with_flow,23,23,9240,4.756792207792208,3927.3178874458877,1.7321247552845898
DTE5_p97_w30_neutral,5,97,30,neutral,23,1,9,16.61888888888889,13.38111111111111,140.10589157549472
DTE5_p97_w30_with_flow,5,97,30,with_flow,23,23,9482,4.721672642902341,4011.9159913520352,0.3150889820352931
DTE5_p97_w50_neutral,5,97,50,neutral,23,16,737,20.653066485753055,29.346933514246945,238.2755311173988
DTE5_p97_w50_with_flow,5,97,50,with_flow,23,23,21778,6.816702635687392,6450.929593626595,8.211094130453278
DTE5_p98_w15_neutral,5,98,15,neutral,23,0,0,0.0,0.0,0.0
DTE5_p98_w15_with_flow,5,98,15,with_flow,23,11,1421,2.257923997185081,2083.8486980999296,0.16701884871696876
DTE5_p98_w20_neutral,5,98,20,neutral,23,0,0,0.0,0.0,0.0
DTE5_p98_w20_with_flow,5,98,20,with_flow,23,12,1653,2.3096188747731397,2315.922565033273,0.15640956754645624
DTE5_p98_w25_neutral,5,98,25,neutral,23,3,76,8.943026315789472,16.056973684210522,172.40201484541356
DTE5_p98_w25_with_flow,5,98,25,with_flow,23,23,7964,4.829650929181316,3968.841452787544,1.8306483519509513
DTE5_p98_w30_neutral,5,98,30,neutral,23,1,5,16.150000000000002,13.85,128.78801283812047
DTE5_p98_w30_with_flow,5,98,30,with_flow,23,23,8102,4.770145643051099,4046.2073870649224,0.26438368211463736
DTE5_p98_w50_neutral,5,98,50,neutral,23,14,557,20.69430879712747,29.30569120287253,222.34439543263937
DTE5_p98_w50_with_flow,5,98,50,with_flow,23,23,19087,6.775129145491696,6591.387188662441,6.636116586752675
DTE5_p99_w15_neutral,5,99,15,neutral,23,0,0,0.0,0.0,0.0
DTE5_p99_w15_with_flow,5,99,15,with_flow,23,10,965,1.6753264248704665,2129.876683937824,0.1228160319532621
DTE5_p99_w20_neutral,5,99,20,neutral,23,0,0,0.0,0.0,0.0
DTE5_p99_w20_with_flow,5,99,20,with_flow,23,10,1108,1.7064079422382674,2346.5072202166066,0.11480333534421205
DTE5_p99_w25_neutral,5,99,25,neutral,23,3,101,10.270891089108913,14.729108910891085,112.0584371021622
DTE5_p99_w25_with_flow,5,99,25,with_flow,23,23,6316,3.9392875237492087,4107.214952501583,1.9271962776324152
DTE5_p99_w30_neutral,5,99,30,neutral,23,1,5,16.150000000000002,13.85,128.78801283812047
DTE5_p99_w30_with_flow,5,99,30,with_flow,23,23,6350,3.8206377952755903,4202.525866141732,0.23697347770228167
DTE5_p99_w50_neutral,5,99,50,neutral,23,11,354,19.889350282485875,30.110649717514125,223.4937993610384
DTE5_p99_w50_with_flow,5,99,50,with_flow,23,23,15224,5.689756962690487,6836.945360614819,5.311217125412387
DTE5_p100_w15_neutral,5,100,15,neutral,23,0,0,0.0,0.0,0.0
DTE5_p100_w15_with_flow,5,100,15,with_flow,23,10,736,1.4546195652173914,2147.336956521739,0.1028640822080412
DTE5_p100_w20_neutral,5,100,20,neutral,23,0,0,0.0,0.0,0.0
DTE5_p100_w20_with_flow,5,100,20,with_flow,23,10,845,1.4468165680473375,2368.336094674556,0.09450162810023428
DTE5_p100_w25_neutral,5,100,25,neutral,23,2,113,9.30424778761062,15.69575221238938,84.31029416350373
DTE5_p100_w25_with_flow,5,100,25,with_flow,23,22,5173,3.2119292480185573,4184.00939880147,1.9426182178160296
DTE5_p100_w30_neutral,5,100,30,neutral,23,0,0,0.0,0.0,0.0
DTE5_p100_w30_with_flow,5,100,30,with_flow,23,22,5174,3.0639582528024745,4309.47197526092,0.10196636983108083
DTE5_p100_w50_neutral,5,100,50,neutral,23,11,218,18.491422018348622,31.50857798165138,219.30850877529195
DTE5_p100_w50_with_flow,5,100,50,with_flow,23,23,12086,4.5381954327320875,6947.759297534338,4.043281690621605
DTE10_p95_w15_neutral,10,95,15,neutral,15,0,0,0.0,0.0,0.0
DTE10_p95_w15_with_flow,10,95,15,with_flow,15,10,249,3.704176706827309,2129.582329317269,0.26982453807609985
DTE10_p95_w20_neutral,10,95,20,neutral,15,0,0,0.0,0.0,0.0
DTE10_p95_w20_with_flow,10,95,20,with_flow,15,10,249,3.704176706827309,2129.582329317269,0.26982453807609985
DTE10_p95_w25_neutral,10,95,25,neutral,15,2,5,13.768,11.231999999999998,163.7184047715668
