config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,filtered_by_loss_limit,avg_credit,avg_max_loss,avg_roi,median_roi,min_roi,max_roi,total_profit_potential,win_rate,sharpe_estimate,consistency_pct,avg_spreads_per_day
DTE0_p97_w10_neutral,0,97,10,neutral,20,2,2,0,2.3549999999999995,7.6450000000000005,33.05834029518239,33.05834029518239,15.740740740740744,50.37593984962404,2.3549999999999995,97.0,1.349827758980632,10.0,1.0
DTE0_p97_w20_neutral,0,97,20,neutral,20,3,9,0,5.034444444444443,14.965555555555559,37.583220857114874,29.032258064516103,16.618075801749274,84.33179723502295,22.65499999999999,97.0,1.3868527678880223,15.0,3.0
DTE0_p97_w25_neutral,0,97,25,neutral,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DTE0_p97_w30_neutral,0,97,30,neutral,20,4,12,0,5.507499999999999,24.492500000000003,22.56859465335467,24.018719187577418,17.50881316098705,26.47554806070826,33.044999999999995,97.0,6.860731825403536,20.0,3.0
DTE0_p97_w50_neutral,0,97,50,neutral,20,6,48,0,13.115,36.885,50.345617236734654,21.418880158208978,15.287064791330415,278.78787878787887,314.76,97.0,0.758665651527851,30.0,8.0
DTE0_p97_w100_neutral,0,97,100,neutral,20,9,99,0,18.131010101010098,81.8689898989899,22.557983980112226,20.26458208057727,15.035085701138847,50.217815832957804,897.4849999999999,97.0,3.018510191288989,45.0,11.0
DTE0_p98_w10_neutral,0,98,10,neutral,20,2,2,0,2.3549999999999995,7.6450000000000005,33.05834029518239,33.05834029518239,15.740740740740744,50.37593984962404,2.3549999999999995,98.0,1.349827758980632,10.0,1.0
DTE0_p98_w20_neutral,0,98,20,neutral,20,3,9,0,5.034444444444443,14.965555555555559,37.583220857114874,29.032258064516103,16.618075801749274,84.33179723502295,22.65499999999999,98.0,1.3868527678880223,15.0,3.0
DTE0_p98_w25_neutral,0,98,25,neutral,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DTE0_p98_w30_neutral,0,98,30,neutral,20,3,8,0,5.429999999999998,24.570000000000004,22.19594290953488,23.891677283029672,17.50881316098705,26.47554806070826,21.71999999999999,98.0,6.098813174368369,15.0,2.6666666666666665
DTE0_p98_w50_neutral,0,98,50,neutral,20,4,37,0,13.61027027027027,36.38972972972972,55.12134975950586,21.124031007751938,15.287064791330415,278.78787878787887,251.79,98.0,0.7538465345397345,20.0,9.25
DTE0_p98_w100_neutral,0,98,100,neutral,20,9,85,0,18.432000000000002,81.568,23.073295095201235,20.17786323759164,15.035085701138847,50.217815832957804,783.3600000000001,98.0,2.8656569716661937,45.0,9.444444444444445
DTE0_p99_w10_neutral,0,99,10,neutral,20,1,1,0,3.349999999999999,6.65,50.37593984962404,50.37593984962404,50.37593984962404,50.37593984962404,1.6749999999999996,99.0,0.0,5.0,1.0
DTE0_p99_w20_neutral,0,99,20,neutral,20,1,2,0,4.649999999999997,15.350000000000003,30.305602716468567,30.305602716468567,29.032258064516103,31.57894736842103,4.649999999999997,99.0,16.829141392239794,5.0,2.0
DTE0_p99_w25_neutral,0,99,25,neutral,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DTE0_p99_w30_neutral,0,99,30,neutral,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DTE0_p99_w50_neutral,0,99,50,neutral,20,2,18,0,13.939444444444446,36.06055555555555,64.71660165585159,22.443203622687854,16.198001394376018,276.22272385252074,125.45500000000001,99.0,0.6825244459036319,10.0,9.0
DTE0_p99_w100_neutral,0,99,100,neutral,20,3,37,0,18.896216216216217,81.10378378378378,23.764268683987133,20.46741356463077,15.048320294523698,42.36902050113896,349.58000000000004,99.0,3.0002838653187167,15.0,12.333333333333334
DTE0_p100_w10_neutral,0,100,10,neutral,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
