config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,filtered_by_loss_limit,avg_credit,avg_max_loss,avg_roi,median_roi,min_roi,max_roi,total_profit_potential,win_rate,sharpe_estimate,consistency_pct,avg_spreads_per_day,roi_score,sharpe_score,consistency_score,volume_score,composite_score
DTE1_p97_w10_neutral,1,97,10,neutral,20,17,59530,0,5.636340668570468,4.36365933142953,74076509913891.3,128.83295194508008,15.0747986191024,5.629499534213119e+17,167765.68,97.0,0.012257740338724493,85.0,3501.764705882353,0.17474662635227414,0.0005021898692629358,0.85,0.16171137477294023,0.26362914164519974
DTE2_p95_w50_neutral,2,95,50,neutral,17,17,22998,0,22.43749804330811,27.56250195669189,61195533679652.14,66.14055949537874,15.021854152288933,7.036874417766399e+17,258008.78999999998,95.0,0.009325656306104784,100.0,1352.8235294117646,0.14436037916441885,0.0003820647192499724,1.0,0.062473344482245584,0.26311631778380823
DTE1_p96_w10_neutral,1,96,10,neutral,20,17,61526,0,5.675198777752495,4.324801222247505,71673351675326.44,130.94688221709012,15.0747986191024,5.629499534213119e+17,174586.14,96.0,0.012057244779764142,85.0,3619.176470588235,0.16907757154302303,0.0004939757257291551,0.85,0.16713344606551186,0.26272733318459274
DTE1_p98_w30_neutral,1,98,30,neutral,20,16,138868,0,14.750160728173515,15.249839271826481,30403870227358.594,83.4862385321101,15.03067484662575,8.444249301319679e+17,1024162.6599999999,98.0,0.006000537672990322,80.0,8679.25,0.07172278710834541,0.00024583725435808163,0.8,0.3772305592469119,0.26061054665089284
DTE2_p100_w50_neutral,2,100,50,neutral,17,15,7267,0,18.391111875602036,31.608888124397964,96833279452050.19,41.52278516841212,15.021854152288935,7.036874417766399e+17,66824.105,99.5,0.011730659256377694,88.23529411764706,484.46666666666664,0.22842988853744,0.00048059577667162155,0.8823529411764706,0.019740577195950893,0.2604893136067562
DTE1_p97_w20_neutral,1,97,20,neutral,20,17,108064,0,10.358173119632811,9.64182688036719,36465887566791.086,97.43336623889438,15.008625646923509,5.629499534213119e+17,559672.81,97.0,0.008048603952076261,85.0,6356.705882352941,0.08602309742515432,0.00032974490034457025,0.85,0.2935524610022344,0.25890101252433706
DTE2_p99_w50_neutral,2,99,50,neutral,17,16,9690,0,18.899191950464395,31.100808049535605,72619963031935.72,43.22543683758236,15.021854152288933,7.036874417766399e+17,91566.58499999999,99.0,0.0101586994446844,94.11764705882352,605.625,0.17131062951546946,0.00041619383385782966,0.9411764705882352,0.02632258057365683,0.2535625790212572
DTE2_p98_w50_neutral,2,98,50,neutral,17,17,12776,0,19.62994442705072,30.370055572949276,55078854240815.96,46.75667742882301,15.021854152288933,7.036874417766399e+17,125396.08499999999,98.0,0.008847132843472516,100.0,751.5294117647059,0.12993112085220318,0.00036245999370530064,1.0,0.03470560262219191,0.25250762782113584
DTE1_p98_w10_neutral,1,98,10,neutral,20,17,58013,0,5.554812886766759,4.445187113233241,61457771620839.81,123.71364653243843,15.0747986191024,5.629499534213119e+17,161125.68,98.0,0.011101157532951041,85.0,3412.529411764706,0.14497899896140146,0.00045480559190243437,0.85,0.15759049193184246,0.25237444942083465
DTE2_p97_w50_neutral,2,97,50,neutral,17,17,15325,0,19.95393474714519,30.04606525285481,45917614471875.914,48.8095238095238,15.021854152288933,7.036874417766399e+17,152897.02500000002,97.0,0.008077923917275975,100.0,901.4705882352941,0.10831973898921464,0.00033094611599146414,1.0,0.04162988104141289,0.24632062138350558
